id,name,parent,depth
880,厨卫电器,601,3
882,地暖设备,627,3
883,钢结构制造,548,3
884,投影机,606,3
885,啤酒销售,594,3
886,度假村旅游,657,3
887,电力元件设备,626,3
888,管理软件,414,3
889,轴承,628,3
890,餐饮设备,656,3
891,肉制品及副产品加工,593,3
892,艺术收藏品投资交易,584,3
893,净水器,601,3
894,进口食品,593,3
895,娱乐文化传播,585,3
896,文化传播,585,3
897,商旅传媒,580,3
898,广告设计制作,662,3
899,金属丝绳及其制品制造,627,3
900,建筑涂料,627,3
901,抵押贷款,543,3
902,早教,570,3
903,电影放映,583,3
904,内衣服饰,597,3
905,无线网络通信,418,3
906,记忆卡,415,3
907,女装服饰,597,3
908,建筑机械,620,3
909,制冷电器,601,3
910,通信设备,417,3
911,空调设备,601,3
912,建筑装饰,553,3
913,办公设备,603,3
916,数据处理软件,414,3
917,葡萄酒贸易,594,3
918,通讯器材,417,3
919,铜业,633,3
920,食堂,656,3
921,糖果零食,593,3
922,文化艺术传播,584,3
923,太阳能电器,601,3
924,药品零售,645,3
925,果蔬食品,593,3
926,文化活动策划,585,3
928,汽车广告,657,3
929,条码设备,630,3
930,建筑石材,627,3
931,贵金属,545,3
932,体育,660,3
933,金融信息服务,414,3
934,玻璃建材,627,3
935,家教,569,3
936,歌舞厅娱乐活动,586,3
937,计算机服务器,415,3
938,管道,627,3
939,婴幼儿服饰,597,3
940,热水器,601,3
941,计算机及零部件制造,415,3
942,钢铁贸易,633,3
944,包装材料,632,3
945,计算机办公设备,603,3
946,白酒,594,3
948,发动机,620,3
949,快餐服务,656,3
950,酒类销售,594,3
951,电子产品、机电设备,626,3
952,激光设备,626,3
953,餐饮策划,656,3
954,饮料、食品,594,3
955,文化娱乐经纪,585,3
956,天然气,665,3
957,农副食品,593,3
958,艺术表演,585,3
959,石膏、水泥制品及类似制品制造,627,3
960,橱柜,602,3
961,管理培训,577,3
962,男装服饰,597,3
963,化肥制造,675,3
964,童装服饰,597,3
965,电源电池,626,3
966,家电维修,664,3
967,光电子器件,419,3
968,旅行社服务,657,3
969,电线、电缆制造,626,3
970,软件开发、信息系统集成,419,3
971,白酒制造,594,3
973,甜品服务,656,3
974,糕点、面包制造,593,3
975,木工机械,620,3
976,酒吧服务,656,3
977,火腿肠,593,3
978,广告策划推广,579,3
979,新能源产品和生产装备制造,667,3
980,调味品,593,3
981,礼仪表演,585,3
982,劳务派遣,560,3
983,建材零售,627,3
984,商品交易中心,545,3
985,体育推广,585,3
986,茶饮料及其他饮料制造,594,3
987,金属建材,627,3
988,职业技能培训,571,3
989,网吧活动,586,3
990,洗衣服务,658,3
991,管道工程,554,3
992,通信工程,417,3
993,电子元器件,626,3
994,电子设备,419,3
995,茶馆服务,656,3
996,旅游开发,657,3
997,视频通讯,417,3
998,白酒销售,594,3
1000,咖啡馆服务,656,3
1001,食品零售,593,3
1002,健康疗养旅游,655,3
1003,粮油食品,593,3
1004,儿童教育影视,583,3
1005,新能源发电,667,3
1006,旅游策划,657,3
1007,绘画,575,3
1008,方便面及其他方便食品,593,3
1009,房地产经纪,550,3
1010,母婴家政,661,3
1011,居家养老健康服务,661,3
1012,文化艺术投资,545,3
1013,运动健身,660,3
1014,瓶（罐）装饮用水制造,594,3
1015,金属门窗,627,3
1016,机动车检测,563,3
1017,货物运输,634,3
1018,服饰专卖,690,3
1019,酒店服装,597,3
1020,通讯软件,417,3
1021,消防工程,554,3
1022,嵌入式电子系统,419,3
1023,航空票务,636,3
1024,电气设备,626,3
1025,酒业贸易,594,3
1027,其他饮料及冷饮服务,656,3
1028,乳制品,593,3
1029,新闻期刊出版,588,3
1030,水污染治理,672,3
1031,谷物食品,593,3
1032,数字动漫设计制造服务,590,3
1033,医院,646,3
1034,旅游广告,657,3
1035,办公家具,602,3
1036,房地产营销策划,550,3
1037,保洁家政,661,3
1038,水泥制造,627,3
1039,市场研究咨询,567,3
1040,驾校,571,3
1041,正餐服务,656,3
1042,化妆品、微信营销,599,3
1043,机动车燃油,665,3
1044,食品,593,3
1045,新能源汽车,629,3
1046,手机无线网络推广,417,3
1047,环保设备,672,3
1048,通讯工程,418,3
1049,半导体集成电路,419,3
1050,航空服务,636,3
1051,电机设备,626,3
1052,档案软件,414,3
1053,冷链物流服务,634,3
1054,小吃服务,656,3
1055,水产品加工,593,3
1056,图书出版,588,3
1057,固体废物治理,672,3
1059,坚果食品,593,3
1060,广告传媒,579,3
1061,电梯,622,3
1062,社区医疗与卫生院,646,3
1063,广告、印刷包装,630,3
1064,婚纱礼服,662,3
1065,地毯,602,3
1066,互联网物业,551,3
1067,跨境电商,3,4
1068,信息安全、系统集成,9,4
1069,专用汽车制造,750,4
1070,商品贸易,3,4
1071,墙壁装饰材料,746,4
1072,窗帘装饰材料,746,4
1073,电子商务、本地生活服务,3,4
1074,汽车维修保养,770,4
1075,白酒电子商务,3,4
1076,商品贸易、电子商务,3,4
1077,木质装饰材料,746,4
1078,电子商务、汽车电商交易平台,3,4
1079,汽车轮胎,751,4
1080,气体压缩机械制造,732,4
1081,家装家具电子商务,3,4
1082,化妆品电子商务,3,4
1083,汽车销售,749,4
1084,新闻资讯网站,510,4
1085,母婴电商,3,4
1086,电商商务、收藏品交易,3,4
1088,电子商务、数码产品,3,4
1089,二手车交易,749,4
1090,游戏制作服务,5,4
1091,母婴服务,510,4
1092,家具电子商务,3,4
1093,汽车配件电子商务,3,4
1094,输配电设备,777,4
1095,矿山设备,727,4
1096,机床机械,726,4
1097,农产品电商,3,4
1098,陶瓷装饰材料,746,4
1099,车载联网设备,487,4
1100,汽车销售电子商务,3,4
1101,石油设备,730,4
1102,智能家居,487,4
1103,散热器,751,4
1104,电力工程,775,4
1105,生鲜电商,3,4
1106,互联网数据服务,490,4
1107,房车、商务车销售,749,4
1108,茶叶电子商务,3,4
1109,酒类电子商务,3,4
1110,阀门,730,4
1111,食品电商,3,4
1112,儿童摄影,871,4
1113,广告摄影,871,4
1114,婚纱摄影,871,4
1115,模具制造,620,3
1116,汽车模具,629,3
1117,认证咨询,567,3
1118,数字视觉制作服务,590,3
1119,牙科及医疗器械,646,3
